symbol,quote_date,expiration,strike,option_type,bid,ask,mid,implied_volatility,delta,gamma,theta,vega,dte,underlying_price,volume,open_interest,iv_rank
PG,2026-07-14,2026-07-24,130.0,P,0.03,0.15,0.09,38.4772,-0.030131,0.00734,-0.031308,0.016511,10,146.08,4,34,27.16
PG,2026-07-14,2026-07-24,132.0,P,0.0,0.3,0.15,39.6979,-0.055834,0.011728,-0.053176,0.027219,10,146.08,10,20,27.16
PG,2026-07-14,2026-07-24,133.0,P,0.0,0.2,0.1,34.1803,-0.044167,0.011298,-0.037914,0.022576,10,146.08,2,11,27.16
PG,2026-07-14,2026-07-24,134.0,P,0.0,2.22,1.11,51.4653,-0.142819,0.01813,-0.13816,0.05455,10,146.08,5,7,27.16
PG,2026-07-14,2026-07-24,135.0,P,0.02,0.28,0.15,32.1784,-0.063426,0.015989,-0.047434,0.030079,10,146.08,211,442,27.16
PG,2026-07-14,2026-07-24,136.0,P,0.0,1.1,0.55,45.3863,-0.157976,0.021987,-0.129963,0.058342,10,146.08,2,104,27.16
PG,2026-07-14,2026-07-24,137.0,P,0.0,2.05,1.025,55.3715,-0.224502,0.022373,-0.197008,0.072426,10,146.08,70,17,27.16
PG,2026-07-14,2026-07-24,138.0,P,0.18,1.09,0.635,39.2096,-0.177532,0.027438,-0.120585,0.062897,10,146.08,76,146,27.16
PG,2026-07-14,2026-07-24,139.0,P,0.34,0.46,0.4,26.3679,-0.118336,0.031068,-0.061353,0.047894,10,146.08,26,83,27.16
PG,2026-07-14,2026-07-24,140.0,P,0.51,0.68,0.595,27.2468,-0.16166,0.037182,-0.078238,0.059229,10,146.08,80,1207,27.16
PG,2026-07-14,2026-07-24,141.0,P,0.69,0.91,0.8,27.4665,-0.205093,0.042794,-0.091256,0.068718,10,146.08,10,92,27.16
PG,2026-07-14,2026-07-24,142.0,P,0.9,1.28,1.09,28.7849,-0.261201,0.046715,-0.109165,0.078616,10,146.08,90,74,27.16
PG,2026-07-14,2026-07-24,143.0,P,1.23,1.49,1.36,27.5886,-0.304435,0.052466,-0.112092,0.084625,10,146.08,29,44,27.16
PG,2026-07-14,2026-07-24,144.0,P,1.52,1.92,1.72,28.2722,-0.3626,0.054862,-0.122644,0.090682,10,146.08,35,88,27.16
PG,2026-07-14,2026-07-24,145.0,P,1.96,2.47,2.215,29.5661,-0.421985,0.054734,-0.133386,0.094611,10,146.08,49,445,27.16
PG,2026-07-14,2026-07-24,146.0,P,2.41,3.25,2.83,32.5324,-0.477702,0.050637,-0.149281,0.096311,10,146.08,7,60,27.16
PG,2026-07-14,2026-07-24,147.0,P,1.25,4.2,2.725,36.6828,-0.522466,0.044907,-0.168506,0.096309,10,146.08,301,23,27.16
PG,2026-07-14,2026-07-24,148.0,P,2.59,5.25,3.92,41.4557,-0.55615,0.039405,-0.189221,0.095505,10,146.08,2,36,27.16
PG,2026-07-14,2026-07-24,149.0,P,2.68,6.5,4.59,47.9986,-0.577943,0.033716,-0.217883,0.094615,10,146.08,2,56,27.16
PG,2026-07-14,2026-07-24,150.0,P,4.25,6.75,5.5,44.1168,-0.622573,0.03562,-0.192781,0.091872,10,146.08,3,300,27.16
PG,2026-07-14,2026-07-24,152.5,P,6.95,9.5,8.225,55.4204,-0.659811,0.027349,-0.234854,0.088614,10,146.08,1,281,27.16
PG,2026-07-14,2026-07-24,155.0,P,8.0,11.75,9.875,60.5961,-0.70218,0.023652,-0.24232,0.083792,10,146.08,1,203,27.16
PG,2026-07-14,2026-07-24,160.0,P,13.9,16.0,14.95,50.3911,-0.850225,0.019117,-0.127824,0.05632,10,146.08,68,7,27.16
PG,2026-07-14,2026-07-24,170.0,P,22.75,26.75,24.75,67.0902,-0.903356,0.010551,-0.122976,0.041387,10,146.08,14,53,27.16
PG,2026-07-14,2026-07-31,140.0,C,6.35,7.8,7.075,32.0075,0.750137,0.031483,-0.104593,0.100153,17,146.08,0,1,27.16
PG,2026-07-14,2026-07-31,141.0,C,5.8,7.5,6.65,35.4987,0.699445,0.031094,-0.124133,0.109705,17,146.08,0,1,27.16
PG,2026-07-14,2026-07-31,142.0,C,5.45,6.15,5.8,29.4929,0.692852,0.03779,-0.105718,0.110772,17,146.08,0,7,27.16
PG,2026-07-14,2026-07-31,143.0,C,4.8,5.45,5.125,28.9558,0.65536,0.040345,-0.10803,0.116109,17,146.08,5,1,27.16
PG,2026-07-14,2026-07-31,144.0,C,3.9,4.6,4.25,26.9294,0.619997,0.044849,-0.103784,0.120037,17,146.08,10,9,27.16
PG,2026-07-14,2026-07-31,145.0,C,3.75,4.05,3.9,27.0149,0.573774,0.046039,-0.1063,0.123614,17,146.08,2,19,27.16
PG,2026-07-14,2026-07-31,146.0,C,3.15,3.55,3.35,27.1248,0.527133,0.046545,-0.107549,0.12548,17,146.08,4,13,27.16
PG,2026-07-14,2026-07-31,147.0,C,2.79,3.0,2.895,26.5022,0.479647,0.047686,-0.104704,0.125607,17,146.08,29,54,27.16
PG,2026-07-14,2026-07-31,148.0,C,2.39,2.65,2.52,27.0759,0.434568,0.046107,-0.104973,0.124075,17,146.08,24,806,27.16
PG,2026-07-14,2026-07-31,149.0,C,1.99,2.28,2.135,27.1736,0.390206,0.044794,-0.102235,0.120977,17,146.08,13,63,27.16
PG,2026-07-14,2026-07-31,150.0,C,1.5,1.99,1.745,27.5886,0.349732,0.042575,-0.099704,0.116739,17,146.08,20,430,27.16
PG,2026-07-14,2026-07-31,152.5,C,1.09,1.27,1.18,27.2712,0.250768,0.037022,-0.084073,0.100345,17,146.08,141,207,27.16
PG,2026-07-14,2026-07-31,155.0,C,0.46,0.87,0.665,28.2234,0.180268,0.029518,-0.071317,0.082802,17,146.08,299,1081,27.16
PG,2026-07-14,2026-07-31,157.5,C,0.12,0.63,0.375,29.6638,0.13203,0.022864,-0.060706,0.06741,17,146.08,12,11659,27.16
PG,2026-07-14,2026-07-31,160.0,C,0.25,0.49,0.37,31.5925,0.101047,0.017755,-0.053251,0.05575,17,146.08,16,473,27.16
PG,2026-07-14,2026-07-31,162.5,C,0.0,0.3,0.15,31.4948,0.065793,0.012891,-0.038324,0.040351,17,146.08,2,280,27.16
