symbol,quote_date,expiration,strike,option_type,bid,ask,mid,implied_volatility,delta,gamma,theta,vega,dte,underlying_price,volume,open_interest,iv_rank
AMZN,2026-07-03,2026-07-10,222.5,P,0.27,0.37,0.32,38.526,-0.047828,0.007688,-0.090862,0.033451,7,242.67,649,405,
AMZN,2026-07-03,2026-07-10,225.0,P,0.43,0.49,0.46,37.0123,-0.064974,0.010191,-0.110998,0.042597,7,242.67,1427,4051,
AMZN,2026-07-03,2026-07-10,227.5,P,0.46,0.7,0.58,36.2067,-0.092337,0.013602,-0.141543,0.055621,7,242.67,189,704,
AMZN,2026-07-03,2026-07-10,230.0,P,0.88,1.04,0.96,36.0358,-0.132736,0.017721,-0.182325,0.072122,7,242.67,1230,3026,
AMZN,2026-07-03,2026-07-10,232.5,P,1.3,1.62,1.46,37.049,-0.19112,0.021874,-0.237419,0.091525,7,242.67,809,528,
AMZN,2026-07-03,2026-07-10,235.0,P,1.79,2.18,1.985,36.3654,-0.249244,0.025961,-0.270694,0.106621,7,242.67,1214,1529,
AMZN,2026-07-03,2026-07-10,237.5,P,2.49,2.75,2.62,34.6198,-0.312846,0.030444,-0.286484,0.119031,7,242.67,1233,2064,
AMZN,2026-07-03,2026-07-10,240.0,P,3.35,3.65,3.5,34.1681,-0.392688,0.033479,-0.305404,0.129189,7,242.67,2114,2242,
AMZN,2026-07-03,2026-07-10,242.5,P,4.45,4.8,4.625,34.0949,-0.478735,0.034768,-0.313941,0.133879,7,242.67,1276,469,
AMZN,2026-07-03,2026-07-10,245.0,P,5.8,6.2,6.0,34.3634,-0.564443,0.034094,-0.310447,0.132316,7,242.67,1399,2998,
AMZN,2026-07-03,2026-07-10,247.5,P,7.3,7.8,7.55,34.6808,-0.644945,0.031945,-0.293499,0.12512,7,242.67,165,260,
AMZN,2026-07-03,2026-07-10,250.0,P,8.9,9.6,9.25,35.2179,-0.716126,0.028631,-0.268104,0.113878,7,242.67,301,1196,
AMZN,2026-07-03,2026-07-10,252.5,P,10.8,12.4,11.6,43.1158,-0.733496,0.02267,-0.320911,0.110391,7,242.67,44,112,
AMZN,2026-07-03,2026-07-10,255.0,P,12.85,13.85,13.35,38.6481,-0.812221,0.020742,-0.228803,0.090537,7,242.67,92,350,
AMZN,2026-07-03,2026-07-10,257.5,P,15.05,16.0,15.525,39.3317,-0.852885,0.017412,-0.194953,0.077345,7,242.67,1,51,
AMZN,2026-07-03,2026-07-10,260.0,P,17.3,18.4,17.85,42.2369,-0.872448,0.014708,-0.188613,0.070161,7,242.67,11,153,
AMZN,2026-07-03,2026-07-10,262.5,P,19.7,20.85,20.275,45.4839,-0.88578,0.012637,-0.187274,0.064915,7,242.67,5,4,
AMZN,2026-07-03,2026-07-10,265.0,P,22.1,23.25,22.675,47.8277,-0.900658,0.010866,-0.176285,0.058694,7,242.67,10,20,
AMZN,2026-07-03,2026-07-10,270.0,P,27.0,28.15,27.575,53.272,-0.919269,0.008361,-0.166245,0.050306,7,242.67,50,10,
AMZN,2026-07-03,2026-07-10,275.0,P,31.95,33.1,32.525,58.9848,-0.930785,0.006715,-0.162513,0.044732,7,242.67,1,0,
AMZN,2026-07-03,2026-07-10,280.0,P,37.0,38.1,37.55,50.9771,-0.976238,0.003269,-0.041015,0.018821,7,242.67,1,0,
AMZN,2026-07-03,2026-07-10,285.0,P,42.0,43.3,42.65,59.8637,-0.970591,0.003327,-0.068287,0.022492,7,242.67,2,0,
AMZN,2026-07-03,2026-07-10,290.0,P,47.0,48.05,47.525,59.9613,-0.981949,0.002202,-0.035214,0.014913,7,242.67,0,0,
AMZN,2026-07-03,2026-07-10,295.0,P,52.0,53.05,52.525,64.6488,-0.983352,0.001906,-0.035072,0.013917,7,242.67,0,0,
AMZN,2026-07-03,2026-07-10,300.0,P,57.0,58.3,57.65,74.9026,-0.976479,0.002206,-0.070302,0.01866,7,242.67,0,0,
AMZN,2026-07-03,2026-07-10,320.0,P,75.65,78.3,76.975,113.477,-0.953247,0.002563,-0.235221,0.032847,7,242.67,6,0,
